,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Year,Champion
7,8.0,San Antonio Spurs*,28.7,56.0,26.0,53,29,3.99,-0.69,3.3,103.8,99.4,4.4,88.4,0.35,0.139,0.531,0.493,15.6,30.6,0.241,0.437,12.2,72.2,0.218,Alamodome,783455,2015,Golden State Warriors
8,9.0,Atlanta Hawks*,29.4,50.0,32.0,51,31,3.51,0.34,3.85,108.2,104.3,3.9,87.7,0.364,0.16,0.533,0.481,14.1,33.9,0.275,0.468,13.0,69.1,0.194,Georgia Dome,610615,2015,Golden State Warriors
9,10.0,Cleveland Cavaliers*,24.6,47.0,35.0,49,33,2.73,0.33,3.06,102.2,99.1,3.1,89.9,0.352,0.129,0.529,0.478,16.5,30.0,0.266,0.46,16.8,71.1,0.264,Gund Arena,694629,2015,Golden State Warriors
10,11.0,New York Knicks*,30.2,43.0,39.0,49,33,2.46,0.28,2.74,103.0,100.3,2.7,88.2,0.283,0.178,0.521,0.476,14.7,29.5,0.218,0.455,14.7,74.0,0.282,Madison Square Garden (IV),810283,2015,Golden State Warriors
11,12.0,Charlotte Hornets*,29.2,51.0,31.0,47,35,2.0,0.45,2.45,107.5,105.3,2.2,89.4,0.345,0.142,0.542,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634,2015,Golden State Warriors
12,13.0,Detroit Pistons,27.2,37.0,45.0,46,36,1.57,0.37,1.95,105.3,103.5,1.8,88.2,0.359,0.147,0.523,0.472,14.0,30.9,0.267,0.474,14.8,70.2,0.243,The Palace of Auburn Hills,794567,2015,Golden State Warriors
13,14.0,New Jersey Nets*,27.8,43.0,39.0,46,36,1.57,0.31,1.88,108.3,106.6,1.7,91.0,0.339,0.135,0.513,0.463,12.9,36.7,0.253,0.499,16.7,66.4,0.258,Continental Airlines Arena,718514,2015,Golden State Warriors
14,15.0,Portland Trail Blazers*,26.1,46.0,36.0,45,37,1.4,-0.57,0.83,104.0,102.4,1.6,90.0,0.348,0.164,0.524,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,846559,2015,Golden State Warriors
15,16.0,Washington Wizards,26.7,42.0,40.0,43,39,0.59,0.53,1.11,105.2,104.5,0.7,91.8,0.317,0.139,0.513,0.476,13.0,31.2,0.219,0.481,15.1,69.5,0.248,MCI Center,801240,2015,Golden State Warriors
16,17.0,Minnesota Timberwolves*,26.4,45.0,37.0,43,39,0.71,-0.54,0.17,107.8,107.1,0.7,92.6,0.329,0.128,0.529,0.483,12.7,30.6,0.244,0.48,13.5,68.5,0.24,Target Center,738590,2015,Golden State Warriors
17,18.0,Houston Rockets*,32.0,41.0,41.0,39,43,-0.76,-0.47,-1.23,107.7,108.6,-0.9,91.0,0.326,0.256,0.544,0.496,14.8,29.8,0.251,0.499,13.3,69.3,0.208,The Summit,670117,2015,Golden State Warriors
18,19.0,Orlando Magic,30.8,41.0,41.0,38,44,-1.07,0.54,-0.53,102.6,103.8,-1.2,87.1,0.331,0.141,0.499,0.452,14.5,34.2,0.24,0.478,14.8,66.9,0.202,Orlando Arena,667322,2015,Golden State Warriors
19,20.0,Milwaukee Bucks,27.6,36.0,46.0,35,47,-1.91,0.58,-1.33,103.5,105.6,-2.1,90.2,0.339,0.11,0.527,0.475,15.8,31.4,0.26,0.485,15.5,69.1,0.282,Bradley Center,638034,2015,Golden State Warriors
20,21.0,Philadelphia 76ers,25.4,31.0,51.0,34,48,-2.39,0.5,-1.89,102.8,105.4,-2.6,90.4,0.367,0.126,0.514,0.462,15.4,32.5,0.271,0.481,15.1,67.3,0.256,CoreStates Center,655417,2015,Golden State Warriors
21,22.0,Boston Celtics,23.9,36.0,46.0,33,49,-2.62,0.66,-1.96,102.6,105.4,-2.8,93.3,0.283,0.18,0.504,0.464,14.6,32.8,0.206,0.504,19.0,66.8,0.343,FleetCenter,739422,2015,Golden State Warriors
22,23.0,Sacramento Kings,26.6,27.0,55.0,25,57,-5.59,-0.25,-5.83,100.8,106.9,-6.1,92.1,0.314,0.121,0.502,0.464,14.3,30.2,0.215,0.482,14.0,66.6,0.23,ARCO Arena (II),605443,2015,Golden State Warriors
23,24.0,Dallas Mavericks,26.3,20.0,62.0,24,58,-6.11,-0.22,-6.33,100.5,107.2,-6.7,89.9,0.257,0.175,0.498,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,503936,2015,Golden State Warriors
24,25.0,Los Angeles Clippers,25.7,17.0,65.0,21,61,-7.37,-0.16,-7.53,103.3,111.2,-7.9,92.4,0.306,0.219,0.518,0.477,14.8,29.6,0.221,0.498,12.9,66.1,0.243,Los Angeles Memorial Sports Arena,254840,2015,Golden State Warriors
25,26.0,Vancouver Grizzlies,26.5,19.0,63.0,22,60,-7.3,-0.17,-7.47,104.1,112.0,-7.9,92.1,0.327,0.137,0.527,0.482,15.8,31.5,0.242,0.507,13.0,66.9,0.24,General Motors Place,660457,2015,Golden State Warriors
26,27.0,Toronto Raptors,24.8,16.0,66.0,17,65,-9.27,0.94,-8.33,101.2,111.0,-9.8,92.6,0.302,0.159,0.504,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685,2015,Golden State Warriors
27,28.0,Golden State Warriors,25.9,19.0,63.0,17,65,-9.12,-0.08,-9.2,95.8,105.7,-9.9,91.4,0.278,0.101,0.468,0.427,15.1,33.7,0.197,0.469,13.0,68.6,0.247,The Arena in Oakland,444922,2015,Golden State Warriors
28,29.0,Denver Nuggets,26.5,11.0,71.0,12,70,-11.78,0.04,-11.74,99.0,112.1,-13.1,89.7,0.335,0.139,0.496,0.44,15.1,30.2,0.259,0.506,14.3,66.3,0.285,McNichols Sports Arena,380590,2015,Golden State Warriors
29,,League Average,27.6,,,41,41,0.0,0.0,0.0,105.0,105.0,,90.3,0.33,0.159,0.524,0.478,14.5,31.4,0.243,0.478,14.5,68.6,0.243,,685130,2015,Golden State Warriors
0,1.0,Los Angeles Lakers*,25.8,61.0,21.0,61,21,7.74,-0.87,6.88,111.9,103.7,8.2,93.6,0.42,0.216,0.559,0.519,14.0,31.6,0.285,0.467,14.1,68.8,0.245,Great Western Forum,676101,2016,Cleveland Cavaliers
1,2.0,Seattle SuperSonics*,31.1,61.0,21.0,61,21,7.17,-0.84,6.33,111.6,103.6,8.0,89.8,0.327,0.243,0.558,0.521,13.4,28.7,0.236,0.478,15.9,66.1,0.223,KeyArena at Seattle Center,699952,2016,Cleveland Cavaliers
2,3.0,Chicago Bulls*,31.7,62.0,20.0,61,21,7.11,0.13,7.24,107.7,99.8,7.9,89.0,0.295,0.141,0.516,0.473,13.3,35.7,0.219,0.457,14.7,70.6,0.22,United Center,983444,2016,Cleveland Cavaliers
3,4.0,Utah Jazz*,29.7,62.0,20.0,59,23,6.54,-0.81,5.73,112.7,105.4,7.3,89.2,0.433,0.11,0.569,0.51,14.8,32.3,0.334,0.471,13.5,71.0,0.271,Delta Center,815889,2016,Cleveland Cavaliers
4,5.0,Indiana Pacers*,29.7,58.0,24.0,59,23,6.09,0.16,6.25,108.4,101.6,6.8,87.9,0.343,0.165,0.55,0.502,14.0,27.9,0.262,0.453,14.4,67.8,0.236,Market Square Arena,645302,2016,Cleveland Cavaliers
5,6.0,Phoenix Suns*,28.2,56.0,26.0,56,26,5.18,-0.75,4.44,107.4,101.8,5.6,91.4,0.29,0.18,0.54,0.5,14.0,29.7,0.217,0.471,15.3,70.0,0.227,America West Arena,779943,2016,Cleveland Cavaliers
6,7.0,Miami Heat*,28.1,55.0,27.0,56,26,4.93,0.16,5.09,107.6,102.0,5.6,87.9,0.329,0.244,0.538,0.494,14.5,31.5,0.243,0.452,14.2,69.6,0.257,Miami Arena,614861,2016,Cleveland Cavaliers
7,8.0,San Antonio Spurs*,28.7,56.0,26.0,53,29,3.99,-0.69,3.3,103.8,99.4,4.4,88.4,0.35,0.139,0.531,0.493,15.6,30.6,0.241,0.437,12.2,72.2,0.218,Alamodome,783455,2016,Cleveland Cavaliers
8,9.0,Atlanta Hawks*,29.4,50.0,32.0,51,31,3.51,0.34,3.85,108.2,104.3,3.9,87.7,0.364,0.16,0.533,0.481,14.1,33.9,0.275,0.468,13.0,69.1,0.194,Georgia Dome,610615,2016,Cleveland Cavaliers
9,10.0,Cleveland Cavaliers*,24.6,47.0,35.0,49,33,2.73,0.33,3.06,102.2,99.1,3.1,89.9,0.352,0.129,0.529,0.478,16.5,30.0,0.266,0.46,16.8,71.1,0.264,Gund Arena,694629,2016,Cleveland Cavaliers
10,11.0,New York Knicks*,30.2,43.0,39.0,49,33,2.46,0.28,2.74,103.0,100.3,2.7,88.2,0.283,0.178,0.521,0.476,14.7,29.5,0.218,0.455,14.7,74.0,0.282,Madison Square Garden (IV),810283,2016,Cleveland Cavaliers
11,12.0,Charlotte Hornets*,29.2,51.0,31.0,47,35,2.0,0.45,2.45,107.5,105.3,2.2,89.4,0.345,0.142,0.542,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634,2016,Cleveland Cavaliers
12,13.0,Detroit Pistons,27.2,37.0,45.0,46,36,1.57,0.37,1.95,105.3,103.5,1.8,88.2,0.359,0.147,0.523,0.472,14.0,30.9,0.267,0.474,14.8,70.2,0.243,The Palace of Auburn Hills,794567,2016,Cleveland Cavaliers
13,14.0,New Jersey Nets*,27.8,43.0,39.0,46,36,1.57,0.31,1.88,108.3,106.6,1.7,91.0,0.339,0.135,0.513,0.463,12.9,36.7,0.253,0.499,16.7,66.4,0.258,Continental Airlines Arena,718514,2016,Cleveland Cavaliers
14,15.0,Portland Trail Blazers*,26.1,46.0,36.0,45,37,1.4,-0.57,0.83,104.0,102.4,1.6,90.0,0.348,0.164,0.524,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,846559,2016,Cleveland Cavaliers
15,16.0,Washington Wizards,26.7,42.0,40.0,43,39,0.59,0.53,1.11,105.2,104.5,0.7,91.8,0.317,0.139,0.513,0.476,13.0,31.2,0.219,0.481,15.1,69.5,0.248,MCI Center,801240,2016,Cleveland Cavaliers
16,17.0,Minnesota Timberwolves*,26.4,45.0,37.0,43,39,0.71,-0.54,0.17,107.8,107.1,0.7,92.6,0.329,0.128,0.529,0.483,12.7,30.6,0.244,0.48,13.5,68.5,0.24,Target Center,738590,2016,Cleveland Cavaliers
17,18.0,Houston Rockets*,32.0,41.0,41.0,39,43,-0.76,-0.47,-1.23,107.7,108.6,-0.9,91.0,0.326,0.256,0.544,0.496,14.8,29.8,0.251,0.499,13.3,69.3,0.208,The Summit,670117,2016,Cleveland Cavaliers
18,19.0,Orlando Magic,30.8,41.0,41.0,38,44,-1.07,0.54,-0.53,102.6,103.8,-1.2,87.1,0.331,0.141,0.499,0.452,14.5,34.2,0.24,0.478,14.8,66.9,0.202,Orlando Arena,667322,2016,Cleveland Cavaliers
19,20.0,Milwaukee Bucks,27.6,36.0,46.0,35,47,-1.91,0.58,-1.33,103.5,105.6,-2.1,90.2,0.339,0.11,0.527,0.475,15.8,31.4,0.26,0.485,15.5,69.1,0.282,Bradley Center,638034,2016,Cleveland Cavaliers
20,21.0,Philadelphia 76ers,25.4,31.0,51.0,34,48,-2.39,0.5,-1.89,102.8,105.4,-2.6,90.4,0.367,0.126,0.514,0.462,15.4,32.5,0.271,0.481,15.1,67.3,0.256,CoreStates Center,655417,2016,Cleveland Cavaliers
21,22.0,Boston Celtics,23.9,36.0,46.0,33,49,-2.62,0.66,-1.96,102.6,105.4,-2.8,93.3,0.283,0.18,0.504,0.464,14.6,32.8,0.206,0.504,19.0,66.8,0.343,FleetCenter,739422,2016,Cleveland Cavaliers
22,23.0,Sacramento Kings,26.6,27.0,55.0,25,57,-5.59,-0.25,-5.83,100.8,106.9,-6.1,92.1,0.314,0.121,0.502,0.464,14.3,30.2,0.215,0.482,14.0,66.6,0.23,ARCO Arena (II),605443,2016,Cleveland Cavaliers
23,24.0,Dallas Mavericks,26.3,20.0,62.0,24,58,-6.11,-0.22,-6.33,100.5,107.2,-6.7,89.9,0.257,0.175,0.498,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,503936,2016,Cleveland Cavaliers
24,25.0,Los Angeles Clippers,25.7,17.0,65.0,21,61,-7.37,-0.16,-7.53,103.3,111.2,-7.9,92.4,0.306,0.219,0.518,0.477,14.8,29.6,0.221,0.498,12.9,66.1,0.243,Los Angeles Memorial Sports Arena,254840,2016,Cleveland Cavaliers
25,26.0,Vancouver Grizzlies,26.5,19.0,63.0,22,60,-7.3,-0.17,-7.47,104.1,112.0,-7.9,92.1,0.327,0.137,0.527,0.482,15.8,31.5,0.242,0.507,13.0,66.9,0.24,General Motors Place,660457,2016,Cleveland Cavaliers
26,27.0,Toronto Raptors,24.8,16.0,66.0,17,65,-9.27,0.94,-8.33,101.2,111.0,-9.8,92.6,0.302,0.159,0.504,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685,2016,Cleveland Cavaliers
27,28.0,Golden State Warriors,25.9,19.0,63.0,17,65,-9.12,-0.08,-9.2,95.8,105.7,-9.9,91.4,0.278,0.101,0.468,0.427,15.1,33.7,0.197,0.469,13.0,68.6,0.247,The Arena in Oakland,444922,2016,Cleveland Cavaliers
28,29.0,Denver Nuggets,26.5,11.0,71.0,12,70,-11.78,0.04,-11.74,99.0,112.1,-13.1,89.7,0.335,0.139,0.496,0.44,15.1,30.2,0.259,0.506,14.3,66.3,0.285,McNichols Sports Arena,380590,2016,Cleveland Cavaliers
29,,League Average,27.6,,,41,41,0.0,0.0,0.0,105.0,105.0,,90.3,0.33,0.159,0.524,0.478,14.5,31.4,0.243,0.478,14.5,68.6,0.243,,685130,2016,Cleveland Cavaliers
0,1.0,Los Angeles Lakers*,25.8,61.0,21.0,61,21,7.74,-0.87,6.88,111.9,103.7,8.2,93.6,0.42,0.216,0.559,0.519,14.0,31.6,0.285,0.467,14.1,68.8,0.245,Great Western Forum,676101,2017,Golden State Warriors
1,2.0,Seattle SuperSonics*,31.1,61.0,21.0,61,21,7.17,-0.84,6.33,111.6,103.6,8.0,89.8,0.327,0.243,0.558,0.521,13.4,28.7,0.236,0.478,15.9,66.1,0.223,KeyArena at Seattle Center,699952,2017,Golden State Warriors
2,3.0,Chicago Bulls*,31.7,62.0,20.0,61,21,7.11,0.13,7.24,107.7,99.8,7.9,89.0,0.295,0.141,0.516,0.473,13.3,35.7,0.219,0.457,14.7,70.6,0.22,United Center,983444,2017,Golden State Warriors
3,4.0,Utah Jazz*,29.7,62.0,20.0,59,23,6.54,-0.81,5.73,112.7,105.4,7.3,89.2,0.433,0.11,0.569,0.51,14.8,32.3,0.334,0.471,13.5,71.0,0.271,Delta Center,815889,2017,Golden State Warriors
4,5.0,Indiana Pacers*,29.7,58.0,24.0,59,23,6.09,0.16,6.25,108.4,101.6,6.8,87.9,0.343,0.165,0.55,0.502,14.0,27.9,0.262,0.453,14.4,67.8,0.236,Market Square Arena,645302,2017,Golden State Warriors
5,6.0,Phoenix Suns*,28.2,56.0,26.0,56,26,5.18,-0.75,4.44,107.4,101.8,5.6,91.4,0.29,0.18,0.54,0.5,14.0,29.7,0.217,0.471,15.3,70.0,0.227,America West Arena,779943,2017,Golden State Warriors
6,7.0,Miami Heat*,28.1,55.0,27.0,56,26,4.93,0.16,5.09,107.6,102.0,5.6,87.9,0.329,0.244,0.538,0.494,14.5,31.5,0.243,0.452,14.2,69.6,0.257,Miami Arena,614861,2017,Golden State Warriors
7,8.0,San Antonio Spurs*,28.7,56.0,26.0,53,29,3.99,-0.69,3.3,103.8,99.4,4.4,88.4,0.35,0.139,0.531,0.493,15.6,30.6,0.241,0.437,12.2,72.2,0.218,Alamodome,783455,2017,Golden State Warriors
8,9.0,Atlanta Hawks*,29.4,50.0,32.0,51,31,3.51,0.34,3.85,108.2,104.3,3.9,87.7,0.364,0.16,0.533,0.481,14.1,33.9,0.275,0.468,13.0,69.1,0.194,Georgia Dome,610615,2017,Golden State Warriors
9,10.0,Cleveland Cavaliers*,24.6,47.0,35.0,49,33,2.73,0.33,3.06,102.2,99.1,3.1,89.9,0.352,0.129,0.529,0.478,16.5,30.0,0.266,0.46,16.8,71.1,0.264,Gund Arena,694629,2017,Golden State Warriors
10,11.0,New York Knicks*,30.2,43.0,39.0,49,33,2.46,0.28,2.74,103.0,100.3,2.7,88.2,0.283,0.178,0.521,0.476,14.7,29.5,0.218,0.455,14.7,74.0,0.282,Madison Square Garden (IV),810283,2017,Golden State Warriors
11,12.0,Charlotte Hornets*,29.2,51.0,31.0,47,35,2.0,0.45,2.45,107.5,105.3,2.2,89.4,0.345,0.142,0.542,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634,2017,Golden State Warriors
12,13.0,Detroit Pistons,27.2,37.0,45.0,46,36,1.57,0.37,1.95,105.3,103.5,1.8,88.2,0.359,0.147,0.523,0.472,14.0,30.9,0.267,0.474,14.8,70.2,0.243,The Palace of Auburn Hills,794567,2017,Golden State Warriors
13,14.0,New Jersey Nets*,27.8,43.0,39.0,46,36,1.57,0.31,1.88,108.3,106.6,1.7,91.0,0.339,0.135,0.513,0.463,12.9,36.7,0.253,0.499,16.7,66.4,0.258,Continental Airlines Arena,718514,2017,Golden State Warriors
14,15.0,Portland Trail Blazers*,26.1,46.0,36.0,45,37,1.4,-0.57,0.83,104.0,102.4,1.6,90.0,0.348,0.164,0.524,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,846559,2017,Golden State Warriors
15,16.0,Washington Wizards,26.7,42.0,40.0,43,39,0.59,0.53,1.11,105.2,104.5,0.7,91.8,0.317,0.139,0.513,0.476,13.0,31.2,0.219,0.481,15.1,69.5,0.248,MCI Center,801240,2017,Golden State Warriors
16,17.0,Minnesota Timberwolves*,26.4,45.0,37.0,43,39,0.71,-0.54,0.17,107.8,107.1,0.7,92.6,0.329,0.128,0.529,0.483,12.7,30.6,0.244,0.48,13.5,68.5,0.24,Target Center,738590,2017,Golden State Warriors
17,18.0,Houston Rockets*,32.0,41.0,41.0,39,43,-0.76,-0.47,-1.23,107.7,108.6,-0.9,91.0,0.326,0.256,0.544,0.496,14.8,29.8,0.251,0.499,13.3,69.3,0.208,The Summit,670117,2017,Golden State Warriors
18,19.0,Orlando Magic,30.8,41.0,41.0,38,44,-1.07,0.54,-0.53,102.6,103.8,-1.2,87.1,0.331,0.141,0.499,0.452,14.5,34.2,0.24,0.478,14.8,66.9,0.202,Orlando Arena,667322,2017,Golden State Warriors
19,20.0,Milwaukee Bucks,27.6,36.0,46.0,35,47,-1.91,0.58,-1.33,103.5,105.6,-2.1,90.2,0.339,0.11,0.527,0.475,15.8,31.4,0.26,0.485,15.5,69.1,0.282,Bradley Center,638034,2017,Golden State Warriors
20,21.0,Philadelphia 76ers,25.4,31.0,51.0,34,48,-2.39,0.5,-1.89,102.8,105.4,-2.6,90.4,0.367,0.126,0.514,0.462,15.4,32.5,0.271,0.481,15.1,67.3,0.256,CoreStates Center,655417,2017,Golden State Warriors
21,22.0,Boston Celtics,23.9,36.0,46.0,33,49,-2.62,0.66,-1.96,102.6,105.4,-2.8,93.3,0.283,0.18,0.504,0.464,14.6,32.8,0.206,0.504,19.0,66.8,0.343,FleetCenter,739422,2017,Golden State Warriors
22,23.0,Sacramento Kings,26.6,27.0,55.0,25,57,-5.59,-0.25,-5.83,100.8,106.9,-6.1,92.1,0.314,0.121,0.502,0.464,14.3,30.2,0.215,0.482,14.0,66.6,0.23,ARCO Arena (II),605443,2017,Golden State Warriors
23,24.0,Dallas Mavericks,26.3,20.0,62.0,24,58,-6.11,-0.22,-6.33,100.5,107.2,-6.7,89.9,0.257,0.175,0.498,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,503936,2017,Golden State Warriors
24,25.0,Los Angeles Clippers,25.7,17.0,65.0,21,61,-7.37,-0.16,-7.53,103.3,111.2,-7.9,92.4,0.306,0.219,0.518,0.477,14.8,29.6,0.221,0.498,12.9,66.1,0.243,Los Angeles Memorial Sports Arena,254840,2017,Golden State Warriors
25,26.0,Vancouver Grizzlies,26.5,19.0,63.0,22,60,-7.3,-0.17,-7.47,104.1,112.0,-7.9,92.1,0.327,0.137,0.527,0.482,15.8,31.5,0.242,0.507,13.0,66.9,0.24,General Motors Place,660457,2017,Golden State Warriors
26,27.0,Toronto Raptors,24.8,16.0,66.0,17,65,-9.27,0.94,-8.33,101.2,111.0,-9.8,92.6,0.302,0.159,0.504,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685,2017,Golden State Warriors
27,28.0,Golden State Warriors,25.9,19.0,63.0,17,65,-9.12,-0.08,-9.2,95.8,105.7,-9.9,91.4,0.278,0.101,0.468,0.427,15.1,33.7,0.197,0.469,13.0,68.6,0.247,The Arena in Oakland,444922,2017,Golden State Warriors
28,29.0,Denver Nuggets,26.5,11.0,71.0,12,70,-11.78,0.04,-11.74,99.0,112.1,-13.1,89.7,0.335,0.139,0.496,0.44,15.1,30.2,0.259,0.506,14.3,66.3,0.285,McNichols Sports Arena,380590,2017,Golden State Warriors
29,,League Average,27.6,,,41,41,0.0,0.0,0.0,105.0,105.0,,90.3,0.33,0.159,0.524,0.478,14.5,31.4,0.243,0.478,14.5,68.6,0.243,,685130,2017,Golden State Warriors
0,1.0,Los Angeles Lakers*,25.8,61.0,21.0,61,21,7.74,-0.87,6.88,111.9,103.7,8.2,93.6,0.42,0.216,0.559,0.519,14.0,31.6,0.285,0.467,14.1,68.8,0.245,Great Western Forum,676101,2018,Golden State Warriors
1,2.0,Seattle SuperSonics*,31.1,61.0,21.0,61,21,7.17,-0.84,6.33,111.6,103.6,8.0,89.8,0.327,0.243,0.558,0.521,13.4,28.7,0.236,0.478,15.9,66.1,0.223,KeyArena at Seattle Center,699952,2018,Golden State Warriors
2,3.0,Chicago Bulls*,31.7,62.0,20.0,61,21,7.11,0.13,7.24,107.7,99.8,7.9,89.0,0.295,0.141,0.516,0.473,13.3,35.7,0.219,0.457,14.7,70.6,0.22,United Center,983444,2018,Golden State Warriors
3,4.0,Utah Jazz*,29.7,62.0,20.0,59,23,6.54,-0.81,5.73,112.7,105.4,7.3,89.2,0.433,0.11,0.569,0.51,14.8,32.3,0.334,0.471,13.5,71.0,0.271,Delta Center,815889,2018,Golden State Warriors
4,5.0,Indiana Pacers*,29.7,58.0,24.0,59,23,6.09,0.16,6.25,108.4,101.6,6.8,87.9,0.343,0.165,0.55,0.502,14.0,27.9,0.262,0.453,14.4,67.8,0.236,Market Square Arena,645302,2018,Golden State Warriors
5,6.0,Phoenix Suns*,28.2,56.0,26.0,56,26,5.18,-0.75,4.44,107.4,101.8,5.6,91.4,0.29,0.18,0.54,0.5,14.0,29.7,0.217,0.471,15.3,70.0,0.227,America West Arena,779943,2018,Golden State Warriors
6,7.0,Miami Heat*,28.1,55.0,27.0,56,26,4.93,0.16,5.09,107.6,102.0,5.6,87.9,0.329,0.244,0.538,0.494,14.5,31.5,0.243,0.452,14.2,69.6,0.257,Miami Arena,614861,2018,Golden State Warriors
7,8.0,San Antonio Spurs*,28.7,56.0,26.0,53,29,3.99,-0.69,3.3,103.8,99.4,4.4,88.4,0.35,0.139,0.531,0.493,15.6,30.6,0.241,0.437,12.2,72.2,0.218,Alamodome,783455,2018,Golden State Warriors
8,9.0,Atlanta Hawks*,29.4,50.0,32.0,51,31,3.51,0.34,3.85,108.2,104.3,3.9,87.7,0.364,0.16,0.533,0.481,14.1,33.9,0.275,0.468,13.0,69.1,0.194,Georgia Dome,610615,2018,Golden State Warriors
9,10.0,Cleveland Cavaliers*,24.6,47.0,35.0,49,33,2.73,0.33,3.06,102.2,99.1,3.1,89.9,0.352,0.129,0.529,0.478,16.5,30.0,0.266,0.46,16.8,71.1,0.264,Gund Arena,694629,2018,Golden State Warriors
10,11.0,New York Knicks*,30.2,43.0,39.0,49,33,2.46,0.28,2.74,103.0,100.3,2.7,88.2,0.283,0.178,0.521,0.476,14.7,29.5,0.218,0.455,14.7,74.0,0.282,Madison Square Garden (IV),810283,2018,Golden State Warriors
11,12.0,Charlotte Hornets*,29.2,51.0,31.0,47,35,2.0,0.45,2.45,107.5,105.3,2.2,89.4,0.345,0.142,0.542,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634,2018,Golden State Warriors
12,13.0,Detroit Pistons,27.2,37.0,45.0,46,36,1.57,0.37,1.95,105.3,103.5,1.8,88.2,0.359,0.147,0.523,0.472,14.0,30.9,0.267,0.474,14.8,70.2,0.243,The Palace of Auburn Hills,794567,2018,Golden State Warriors
13,14.0,New Jersey Nets*,27.8,43.0,39.0,46,36,1.57,0.31,1.88,108.3,106.6,1.7,91.0,0.339,0.135,0.513,0.463,12.9,36.7,0.253,0.499,16.7,66.4,0.258,Continental Airlines Arena,718514,2018,Golden State Warriors
14,15.0,Portland Trail Blazers*,26.1,46.0,36.0,45,37,1.4,-0.57,0.83,104.0,102.4,1.6,90.0,0.348,0.164,0.524,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,846559,2018,Golden State Warriors
15,16.0,Washington Wizards,26.7,42.0,40.0,43,39,0.59,0.53,1.11,105.2,104.5,0.7,91.8,0.317,0.139,0.513,0.476,13.0,31.2,0.219,0.481,15.1,69.5,0.248,MCI Center,801240,2018,Golden State Warriors
16,17.0,Minnesota Timberwolves*,26.4,45.0,37.0,43,39,0.71,-0.54,0.17,107.8,107.1,0.7,92.6,0.329,0.128,0.529,0.483,12.7,30.6,0.244,0.48,13.5,68.5,0.24,Target Center,738590,2018,Golden State Warriors
17,18.0,Houston Rockets*,32.0,41.0,41.0,39,43,-0.76,-0.47,-1.23,107.7,108.6,-0.9,91.0,0.326,0.256,0.544,0.496,14.8,29.8,0.251,0.499,13.3,69.3,0.208,The Summit,670117,2018,Golden State Warriors
18,19.0,Orlando Magic,30.8,41.0,41.0,38,44,-1.07,0.54,-0.53,102.6,103.8,-1.2,87.1,0.331,0.141,0.499,0.452,14.5,34.2,0.24,0.478,14.8,66.9,0.202,Orlando Arena,667322,2018,Golden State Warriors
19,20.0,Milwaukee Bucks,27.6,36.0,46.0,35,47,-1.91,0.58,-1.33,103.5,105.6,-2.1,90.2,0.339,0.11,0.527,0.475,15.8,31.4,0.26,0.485,15.5,69.1,0.282,Bradley Center,638034,2018,Golden State Warriors
20,21.0,Philadelphia 76ers,25.4,31.0,51.0,34,48,-2.39,0.5,-1.89,102.8,105.4,-2.6,90.4,0.367,0.126,0.514,0.462,15.4,32.5,0.271,0.481,15.1,67.3,0.256,CoreStates Center,655417,2018,Golden State Warriors
21,22.0,Boston Celtics,23.9,36.0,46.0,33,49,-2.62,0.66,-1.96,102.6,105.4,-2.8,93.3,0.283,0.18,0.504,0.464,14.6,32.8,0.206,0.504,19.0,66.8,0.343,FleetCenter,739422,2018,Golden State Warriors
22,23.0,Sacramento Kings,26.6,27.0,55.0,25,57,-5.59,-0.25,-5.83,100.8,106.9,-6.1,92.1,0.314,0.121,0.502,0.464,14.3,30.2,0.215,0.482,14.0,66.6,0.23,ARCO Arena (II),605443,2018,Golden State Warriors
23,24.0,Dallas Mavericks,26.3,20.0,62.0,24,58,-6.11,-0.22,-6.33,100.5,107.2,-6.7,89.9,0.257,0.175,0.498,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,503936,2018,Golden State Warriors
